STT,Chức năng,Script test,Function,Testcase ID,Test Objective,Input,Expected Output,Notes,Kết quả,Minh chứng
20,Xóa nhưng thế ra nên có exception,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,delete(),US-TC20,"delete() ném exception khi id không tồn tại (invalid operation)","id=999999","Exception được ném ra; DB count không đổi","Standard practice: DELETE non-existent → 404/exception. TDD: phát hiện bug nếu code không throw",,
21,Ném lỗi khi vai trò không tồn tại (lần 2),services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,create(),US-TC21,"create() ném khi role không tồn tại (duplicate test)","roleId=999","CustomException: Vai trò không tồn tại","Basis Path test coverage",,
22,Ném lỗi khi nhân viên không tồn tại (lần 2),services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,create(),US-TC22,"create() ném khi employee không tồn tại (duplicate)","employeeId=999","CustomException: Nhân viên không tồn tại","Basis Path coverage",,
23,Ném lỗi khi nhân viên đã có người dùng (lần 2),services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,create(),US-TC23,"create() ném khi employee đã có user (duplicate)","employee.user != null","CustomException: Nhân viên đã có tài khoản","Basis Path coverage",,
24,Ném lỗi khi người dùng không tồn tại (lần 2),services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC24,"update() ném khi user không tồn tại (duplicate)","id=999999","RuntimeException: User not found","Basis Path coverage",,
25,Ném lỗi khi vai trò cập nhật không tồn tại (lần 2),services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC25,"update() ném khi role không tồn tại khi update roleId","roleId=555","CustomException: Vai trò không tồn tại; dữ liệu cũ nguyên vẹn","Nhánh update roleId",,
26,Ném lỗi khi nhân viên cập nhật không tồn tại (lần 2),services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC26,"update() ném khi employee không tồn tại khi update employeeId","employeeId=888","CustomException: Nhân viên không tồn tại; dữ liệu cũ nguyên vẹn","Nhánh update employeeId",,
27,Ném lỗi khi nhân viên cập nhật đã có user khác,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC27,"update() ném khi employee đã có user khác","employee.user != null && user.id khác","CustomException: Nhân viên đã có tài khoản; dữ liệu cũ nguyên vẹn","Kiểm tra conflict employee",,
28,Cập nhật thành công với nhiều trường,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC28,"update() cập nhật thành công khi có fields != null","multiple fields changed","Các field được cập nhật đúng vào DB","CheckDB verify all field changes",,
29,Tìm người dùng theo email không tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,handleGetUserByUsername(),US-TC29,"handleGetUserByUsername() return null khi không tìm thấy","email không tồn tại","null","Kiểm tra query miss case",,
30,Cập nhật refresh token thành công,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,updateUserRefreshToken(),US-TC30,"updateUserRefreshToken() cập nhật token thành công","email tồn tại, token mới","Token được cập nhật đúng vào DB","CheckDB verify token update",,
31,Lấy người dùng theo danh sách phòng ban,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,getByDepartmentIds(),US-TC31,"getByDepartmentIds() trả về danh sách users theo departmentIds","departmentIds=[id1, id2]","Danh sách user thuộc 2 phòng ban đó","CheckDB filter by department ids",,
32,Cập nhật refresh token khi email không tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,updateUserRefreshToken(),US-TC32,"updateUserRefreshToken() khi email không tìm thấy","email không tồn tại, token mới","Không crash; kiểm tra safe behavior","Nhánh email not found",,
33,Cập nhật khi update DTO toàn null,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC33,"update() khi updateUserDTO toàn null","UpdateUserDTO tất cả field = null","DB dữ liệu không thay đổi; không crash","Nhánh all-null DTO",,
34,Tải người dùng khi email tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserDetailCustomTest.java,loadUserByUsername(),UDC-TC01,"Trả về UserDetails khi email tồn tại","email=admin@gmail.com","UserDetails có username/password đúng và authority ROLE_USER","Không cần DB thật; mock UserService",,
35,Ném lỗi khi email không tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserDetailCustomTest.java,loadUserByUsername(),UDC-TC02,"Ném lỗi khi email không tồn tại","email=missing@gmail.com","UsernameNotFoundException: Email/Mật khẩu không hợp lệ","Nhánh lỗi đăng nhập",,
36,Kiểm tra quyền ROLE_USER,services/user-service/src/test/java/com/example/user_service/service/UserDetailCustomTest.java,loadUserByUsername(),UDC-TC03,"loadUserByUsername() kiểm tra authorities là ROLE_USER","email hợp lệ","UserDetails.authorities chứa ROLE_USER","Xác minh Spring Security role mapping",,
37,Tạo access token hợp lệ,services/user-service/src/test/java/com/example/user_service/utils/JwtUtilTest.java,createAccessToken(),JWT-TC01,"Sinh access token hợp lệ chứa subject và claim user","email=admin@gmail.com + userToken","Token không rỗng; decode được; subject đúng; claim user tồn tại","Kiểm tra token thật bằng JwtDecoder",,
38,Tạo refresh token hợp lệ,services/user-service/src/test/java/com/example/user_service/utils/JwtUtilTest.java,createRefreshToken(),JWT-TC02,"Sinh refresh token hợp lệ và decode được","email=staff@company.com + userToken","Token không rỗng; checkValidRefreshToken() decode thành công; subject đúng","Kiểm tra token thật bằng secret cấu hình test",,
39,Ném lỗi với token không hợp lệ,services/user-service/src/test/java/com/example/user_service/utils/JwtUtilTest.java,checkValidRefreshToken(),JWT-TC03,"Ném lỗi khi token không hợp lệ","token=not.a.valid.jwt","Exception được ném ra","Nhánh lỗi token sai định dạng",,
40,Hai loại token khác nhau,services/user-service/src/test/java/com/example/user_service/utils/JwtUtilTest.java,createAccessToken() / createRefreshToken(),JWT-TC04,"Hai loại token được sinh riêng biệt","cùng input userToken","Access token và refresh token đều không rỗng và khác nhau","Kiểm tra logic sinh token độc lập",,
41,Cả hai token có expiration claim,services/user-service/src/test/java/com/example/user_service/utils/JwtUtilTest.java,createAccessToken() / createRefreshToken(),JWT-TC05,"createAccessToken() và createRefreshToken() có expiration claim","cùng input userToken","Cả access token và refresh token đều có claim exp (expiration)","Xác minh cả 2 token có thời gian sống",,
42,Lọc và mapping người dùng thành DTO,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,getAllWithFilters(),US-TC34,"Lọc user theo điều kiện và map DTO khi role null","departmentId=null, role=null, isActive=true, keyword=tc34-match","Meta.total=1; danh sách có 1 user; UserDTO.roleId=null","Cover getAllWithFilters() và nhánh convertToDTO(role == null)",,
43,Ném exception khi spy trả về user null,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC35,"update() ném CustomException khi spy trả về user null","getById(id)=null","CustomException: Người dùng không tồn tại","Cover nhánh if (user == null)",,
44,Cập nhật người dùng giữ nguyên Employee,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC36,"Cho phép cập nhật thông tin nếu truyền đúng ID Nhân viên của chính tài khoản đó","Tài khoản User hiện tại đang liên kết với Employee J; UpdateUserDTO gửi lên email=new.email@company.com, employeeId=ID của chính Employee J","Không ném ngoại lệ; Dữ liệu email được cập nhật thành công xuống DB; ID Employee giữ nguyên","Gán liên kết 2 chiều employee.setUser() ở bước Arrange để tránh False Positive; CheckDB bằng findById()",,
